2806|1121|5539930|12785|114333|0
2506|272|5418212|12785|114333|0
2654|52|5376438|12785|114333|0
2654|52|5368053|12785|34389|0
2821|841|5919222|7385|1000|0
2524|1690|5778615|18185|121446|340000
1628|1599|5656897|18185|133222|0
2241|2257|5535179|12785|114333|0
2582|1424|5413461|12785|114333|0
2821|841|5986843|12785|114333|0
2654|52|5858012|18185|99233|340000
2839|932|5736294|18185|121446|0
2453|118|5614576|12785|114333|0
2654|52|5579550|12785|114333|0
2654|52|5571165|12785|27641|0
2516|941|5449447|7385|1000|0
1814|1504|5327729|12785|114333|0
1112|2067|5206011|12785|114333|0
510|2552|5761388|12785|114333|0
1402|2437|5620781|18185|117238|340000
2000|1764|5499063|18185|133222|0
2321|923|5382745|12785|114333|0
2642|82|5261027|12785|114333|0
2837|960|5139309|12785|114333|0
2463|141|5017591|12785|114333|0
2654|52|4982671|12785|114333|0
2654|52|4974286|12785|27535|0
2821|841|5525455|7385|1000|0
